Id,Mosquito,Xcoord,Ycoord,Neighbors,Members
root.buildings[0]( parameter = 0.0, capacityOfMosquitoes = 107.0 ), 555248.6899193237, 1825927.5596224745, 1, 0
root.buildings[1]( parameter = 0.0, capacityOfMosquitoes = 2.0 ), 556122.9680644628, 1824884.5163060664, 0, 0
root.buildings[2]( parameter = 0.0, capacityOfMosquitoes = 27.0 ), 556316.8052324734, 1825062.5221718792, 0, 0
root.buildings[3]( parameter = 0.0, capacityOfMosquitoes = 1.0 ), 556371.0572615095, 1825769.760911901, 0, 0
root.buildings[4]( parameter = 0.0, capacityOfMosquitoes = 24.0 ), 556216.2812834649, 1824962.9580371422, 1, 0
root.buildings[5]( parameter = 0.0, capacityOfMosquitoes = 22.0 ), 555139.6020326378, 1826733.0293886114, 0, 0
root.buildings[6]( parameter = 0.0, capacityOfMosquitoes = 104.0 ), 555163.7579215933, 1827842.0040590807, 1, 0
root.buildings[7]( parameter = 0.0, capacityOfMosquitoes = 47.0 ), 556226.7662759062, 1824382.324651979, 0, 0
root.buildings[8]( parameter = 0.0, capacityOfMosquitoes = 6.0 ), 554701.1678627583, 1825786.8486911359, 0, 0
root.buildings[9]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 555226.4841648304, 1827154.3472774224, 1, 0
root.buildings[10]( parameter = 0.0, capacityOfMosquitoes = 18.0 ), 555349.7657369236, 1826868.4231056864, 0, 0
root.buildings[11]( parameter = 0.0, capacityOfMosquitoes = 9.0 ), 555318.9484579676, 1825751.3404187886, 0, 0
root.buildings[12]( parameter = 0.0, capacityOfMosquitoes = 62.0 ), 554713.7791495299, 1825146.8062892111, 0, 0
root.buildings[13]( parameter = 0.0, capacityOfMosquitoes = 67.0 ), 555656.0798157465, 1825535.9074464557, 1, 0
root.buildings[14]( parameter = 0.0, capacityOfMosquitoes = 19.0 ), 556260.8307410418, 1827524.3541395315, 1, 0
root.buildings[15]( parameter = 0.0, capacityOfMosquitoes = 203.0 ), 556220.4724455586, 1825522.5542695806, 2, 0
